family	harness	tier	expected	outcome	wall_s	timeout_s	verdict	log
datetime-b	rem::eq_timetz_izone_cells	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_timetz_izone_cells_.log
datetime-b	rem::eq_timetz_izone_err_planes	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_timetz_izone_err_planes_.log
datetime-b	rem::eq_timetz_time	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_timetz_time_.log
datetime-b	rem::eq_timetztypmodin_check	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_timetztypmodin_check_.log
datetime-b	rem::eq_timetz_hash_extended	unmeasured	unmeasured	unmeasured-green	50	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_timetz_hash_extended_.log
datetime-b	rem::eq_timetztypmodout_neg	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_timetztypmodout_neg_.log
datetime-b	rem::eq_timetztypmodout_d1	unmeasured	unmeasured	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_timetztypmodout_d1_.log
datetime-b	rem::spot_interval_time	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__spot_interval_time_.log
datetime-b	rem::spot_interval_scale	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__spot_interval_scale_.log
datetime-b	rem::spot_typmodout	unmeasured	unmeasured	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__spot_typmodout_.log
datetime-b	rem::eq_time_recv_typmod_neg	unmeasured	unmeasured	unmeasured-green	150	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_time_recv_typmod_neg_.log
datetime-b	rem::eq_time_send	unmeasured	unmeasured	unmeasured-green	190	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_time_send_.log
datetime-b	rem::eq_interval_recv_typmod_neg	unmeasured	unmeasured	unmeasured-green	341	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_interval_recv_typmod_neg_.log
datetime-b	rem::eq_timetz_recv_typmod_neg	unmeasured	unmeasured	unmeasured-green	241	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_timetz_recv_typmod_neg_.log
datetime-b	rem::eq_overlaps_timetz	unmeasured	unmeasured	unmeasured-green	321	600	VERIFICATION:- SUCCESSFUL	datetime-b--rem__eq_overlaps_timetz_.log
float-agg	proofs::control_var_samp_vs_c_var_pop	unmeasured	unmeasured	unmeasured-failed	10	600	VERIFICATION:- FAILED	float-agg--proofs__control_var_samp_vs_c_var_pop_.log
