family	harness	tier	expected	outcome	wall_s	timeout_s	verdict	log
geo-cmp	proofs::eq_box_gt_grid	unmeasured	unmeasured	unmeasured-green	50	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_gt_grid_.log
geo-cmp	proofs::eq_point_below	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_point_below_.log
geo-cmp	proofs::eq_box_lt_grid	unmeasured	unmeasured	unmeasured-green	51	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_lt_grid_.log
geo-cmp	proofs::eq_point_horiz	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_point_horiz_.log
geo-cmp	proofs::eq_box_width	unmeasured	unmeasured	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_width_.log
geo-cmp	proofs::eq_point_left	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_point_left_.log
geo-cmp	proofs::eq_point_right	unmeasured	unmeasured	unmeasured-green	21	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_point_right_.log
geo-cmp	proofs::eq_point_vert	unmeasured	unmeasured	unmeasured-green	21	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_point_vert_.log
geo-cmp	proofs::eq_box_overlap	unmeasured	unmeasured	unmeasured-green	60	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_overlap_.log
geo-cmp	proofs::eq_point_ne	unmeasured	unmeasured	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_point_ne_.log
geo-cmp	proofs::eq_point_eq	unmeasured	unmeasured	unmeasured-green	40	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_point_eq_.log
geo-cmp	proofs::eq_box_same	unmeasured	unmeasured	unmeasured-green	70	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_same_.log
gist-geo	proofs::eq_gist_box_same_nonnan	unmeasured	unmeasured	unmeasured-failed	50	600	NO-VERDICT	gist-geo--proofs__eq_gist_box_same_nonnan_.log
gist-geo	proofs::eq_gist_box_consistent_nulls	unmeasured	unmeasured	unmeasured-green	61	600	VERIFICATION:- SUCCESSFUL	gist-geo--proofs__eq_gist_box_consistent_nulls_.log
gist-geo	proofs::eq_gist_box_same_nulls	unmeasured	unmeasured	unmeasured-green	60	600	VERIFICATION:- SUCCESSFUL	gist-geo--proofs__eq_gist_box_same_nulls_.log
gist-geo	proofs::control_gist_box_consistent_leaf_vs_internal	unmeasured	unmeasured	unmeasured-failed	70	600	VERIFICATION:- FAILED	gist-geo--proofs__control_gist_box_consistent_leaf_vs_internal_.log
gist-geo	proofs::eq_gist_box_union_n2	unmeasured	unmeasured	unmeasured-green	60	600	VERIFICATION:- SUCCESSFUL	gist-geo--proofs__eq_gist_box_union_n2_.log
gist-geo	proofs::eq_gist_box_penalty_degenerate_y	unmeasured	unmeasured	unmeasured-green	70	600	VERIFICATION:- SUCCESSFUL	gist-geo--proofs__eq_gist_box_penalty_degenerate_y_.log
geo-cmp	proofs::probe_box_cn_full	unmeasured	unmeasured	unmeasured-green	80	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__probe_box_cn_full_.log
gist-geo	proofs::eq_gist_circle_compress_noop	unmeasured	unmeasured	unmeasured-green	61	600	VERIFICATION:- SUCCESSFUL	gist-geo--proofs__eq_gist_circle_compress_noop_.log
gist-geo	proofs::eq_gist_box_union_n3	unmeasured	unmeasured	unmeasured-green	70	600	VERIFICATION:- SUCCESSFUL	gist-geo--proofs__eq_gist_box_union_n3_.log
gist-geo	proofs::eq_gist_point_compress_leaf	unmeasured	unmeasured	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	gist-geo--proofs__eq_gist_point_compress_leaf_.log
gist-geo	proofs::eq_gist_point_compress_noop	unmeasured	unmeasured	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	gist-geo--proofs__eq_gist_point_compress_noop_.log
gist-geo	proofs::eq_gist_point_consistent_badgroup	unmeasured	unmeasured	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	gist-geo--proofs__eq_gist_point_consistent_badgroup_.log
gist-geo	proofs::eq_gist_point_consistent_group1	unmeasured	unmeasured	unmeasured-green	40	600	VERIFICATION:- SUCCESSFUL	gist-geo--proofs__eq_gist_point_consistent_group1_.log
