file	sloc	kani	fuzz	regress	any
crates/backend/access/gist/gistproc/src/qsort.rs	91	0	0	90	90
crates/backend/access/hash/hash/src/insert.rs	175	0	0	92	92
crates/backend/access/hash/hash/src/lib.rs	382	0	0	297	297
crates/backend/access/hash/hash/src/ovfl.rs	587	0	0	499	499
crates/backend/access/hash/hash/src/page.rs	695	0	0	543	543
crates/backend/access/hash/hash/src/search.rs	302	0	0	128	128
crates/backend/access/hash/hash/src/util.rs	181	0	0	79	79
crates/backend/access/hash/hash/src/wal.rs	69	0	0	59	59
crates/backend/access/hash/hash_validate/src/lib.rs	175	0	0	85	85
crates/backend/access/hash/hash_xlog/src/lib.rs	599	0	0	0	0
crates/backend/access/hash/hashsort/src/lib.rs	94	0	0	76	76
crates/backend/access/heap/heapam/src/bitmap.rs	152	0	0	140	140
crates/backend/access/heap/heapam/src/dml.rs	2260	0	0	1320	1320
crates/backend/access/heap/heapam/src/fetch.rs	221	0	0	161	161
crates/backend/access/heap/heapam/src/freeze.rs	423	0	0	165	165
crates/backend/access/heap/heapam/src/hio.rs	292	0	0	245	245
crates/backend/access/heap/heapam/src/index_delete.rs	226	0	0	208	208
crates/backend/access/heap/heapam/src/inplace.rs	148	0	0	100	100
crates/backend/access/heap/heapam/src/lib.rs	914	0	0	774	774
crates/backend/access/heap/heapam/src/sample.rs	129	0	0	124	124
crates/backend/access/heap/heapam/src/tests.rs	0	0	0	0	0
crates/backend/access/heap/heapam/src/wal.rs	25	0	0	25	25
crates/backend/access/heap/heapam_handler/src/lib.rs	342	0	0	244	244
crates/backend/access/heap/heapam_handler/src/tests.rs	0	0	0	0	0
crates/backend/access/heap/heapam_visibility/src/lib.rs	760	0	0	400	400
crates/backend/access/heap/heapam_visibility/src/tests.rs	0	0	0	0	0
crates/backend/access/heap/heapam_visibility_seams/src/lib.rs	45	0	0	0	0
crates/backend/access/heap/heapam_xlog/src/lib.rs	716	0	0	0	0
crates/backend/access/heap/heapam_xlog/src/tests.rs	0	0	0	0	0
crates/backend/access/heap/heaptoast/src/fetch.rs	180	0	0	138	138
crates/backend/access/heap/heaptoast/src/helper.rs	158	0	0	155	155
crates/backend/access/heap/heaptoast/src/internals.rs	262	0	0	213	213
crates/backend/access/heap/heaptoast/src/lib.rs	34	0	0	24	24
crates/backend/access/heap/heaptoast/src/tests.rs	0	0	0	0	0
crates/backend/access/heap/heaptoast/src/toast.rs	204	0	0	196	196
crates/backend/access/heap/heaptoast_seams/src/lib.rs	27	0	0	0	0
crates/backend/access/heap/pruneheap/src/lib.rs	749	0	0	688	688
crates/backend/access/heap/pruneheap/src/tests.rs	0	0	0	0	0
crates/backend/access/heap/pruneheap_seams/src/lib.rs	12	0	0	0	0
crates/backend/access/heap/rewriteheap/src/lib.rs	398	0	0	200	200
crates/backend/access/heap/rewriteheap_seams/src/lib.rs	2	0	0	0	0
crates/backend/access/heap/vacuumlazy/src/lib.rs	1370	0	0	805	805
crates/backend/access/heap/vacuumlazy/src/morsels.rs	910	0	0	587	587
crates/backend/access/heap/vacuumlazy/src/tests.rs	0	0	0	0	0
crates/backend/access/heap/visibilitymap/src/lib.rs	304	0	0	276	276
crates/backend/access/heap/visibilitymap/src/tests.rs	0	0	0	0	0
crates/backend/access/index/amapi/src/lib.rs	230	0	0	83	83
crates/backend/access/index/amapi/src/tests.rs	0	0	0	0	0
crates/backend/access/index/genam/src/lib.rs	404	0	0	309	309
crates/backend/access/index/genam/src/tests.rs	0	0	0	0	0
crates/backend/access/index/genam_seams/src/lib.rs	19	0	0	0	0
crates/backend/access/index/index_amvalidate/src/lib.rs	82	0	0	79	79
crates/backend/access/index/indexam/src/lib.rs	628	0	0	512	512
crates/backend/access/index/indexam/src/prefetch.rs	99	0	0	82	82
crates/backend/access/index/indexam/src/tests.rs	0	0	0	0	0
crates/backend/access/index/indexam_seams/src/lib.rs	31	0	0	0	0
crates/backend/access/index/relscan/src/lib.rs	267	0	0	164	164
crates/backend/access/index/relscan/src/parallel.rs	10	0	0	8	8
crates/backend/access/nbtree/compare/src/builtins.rs	38	17	0	17	20
crates/backend/access/nbtree/compare/src/lib.rs	75	61	0	47	68
crates/backend/access/nbtree/compare/src/tests.rs	0	0	0	0	0
crates/backend/access/nbtree/nbt_validate/src/lib.rs	184	0	0	100	100
crates/backend/access/nbtree/nbtree/src/dedup.rs	199	0	0	184	184
crates/backend/access/nbtree/nbtree/src/delete.rs	212	0	0	201	201
crates/backend/access/nbtree/nbtree/src/fcframe.rs	83	0	0	70	70
crates/backend/access/nbtree/nbtree/src/insert.rs	1432	0	0	1164	1164
crates/backend/access/nbtree/nbtree/src/itup.rs	291	0	0	278	278
crates/backend/access/nbtree/nbtree/src/lib.rs	188	0	0	120	120
crates/backend/access/nbtree/nbtree/src/page.rs	384	0	0	301	301
crates/backend/access/nbtree/nbtree/src/pagedel.rs	648	0	0	545	545
crates/backend/access/nbtree/nbtree/src/parallel.rs	154	0	0	115	115
crates/backend/access/nbtree/nbtree/src/preprocess.rs	992	0	0	872	872
crates/backend/access/nbtree/nbtree/src/search.rs	1030	0	0	905	905
crates/backend/access/nbtree/nbtree/src/splitloc.rs	314	0	0	282	282
crates/backend/access/nbtree/nbtree/src/tests.rs	0	0	0	0	0
crates/backend/access/nbtree/nbtree/src/utils.rs	1408	0	0	1199	1199
crates/backend/access/nbtree/nbtree/src/vacuum.rs	447	0	0	377	377
crates/backend/access/nbtree/nbtree/src/wal.rs	93	0	0	80	80
crates/backend/access/nbtree/nbtree_xlog/src/lib.rs	680	0	0	0	0
crates/backend/access/nbtree/nbtree_xlog/src/tests.rs	0	0	0	0	0
crates/backend/access/nbtree/nbtsort/src/lib.rs	396	0	0	366	366
crates/backend/access/nbtree/nbtsort/src/pool.rs	553	0	0	20	20
crates/backend/access/parquet_read/src/codec.rs	48	0	0	0	0
crates/backend/access/parquet_read/src/column.rs	420	0	0	0	0
crates/backend/access/parquet_read/src/lib.rs	165	0	0	0	0
crates/backend/access/parquet_read/src/meta.rs	385	0	0	0	0
crates/backend/access/parquet_read/src/page.rs	102	0	0	0	0
crates/backend/access/parquet_read/src/plain.rs	71	0	0	0	0
crates/backend/access/parquet_read/src/rle.rs	162	0	0	0	0
crates/backend/access/parquet_read/src/tests.rs	0	0	0	0	0
crates/backend/access/parquet_read/src/thrift.rs	128	0	0	0	0
crates/backend/access/pgrcolumnar/src/bloom.rs	19	0	0	0	0
crates/backend/access/pgrcolumnar/src/condcache.rs	106	0	0	0	0
crates/backend/access/pgrcolumnar/src/format.rs	105	0	0	0	0
crates/backend/access/pgrcolumnar/src/hll.rs	69	0	0	0	0
crates/backend/access/pgrcolumnar/src/lib.rs	42	0	0	0	0
crates/backend/access/pgrcolumnar/src/loadsort.rs	776	0	0	0	0
crates/backend/access/pgrcolumnar/src/lz4dec.rs	140	0	0	0	0
crates/backend/access/pgrcolumnar/src/part_cache.rs	115	0	0	0	0
crates/backend/access/pgrcolumnar/src/reader.rs	864	0	0	0	0
crates/backend/access/pgrcolumnar/src/scan.rs	1488	0	0	0	0
crates/backend/access/pgrcolumnar/src/segfile.rs	264	0	0	0	0
crates/backend/access/pgrcolumnar/src/sortkey.rs	17	0	0	0	0
crates/backend/access/pgrcolumnar/src/writer.rs	1405	0	0	0	0
crates/backend/access/rmgrdesc/src/brindesc.rs	49	0	0	0	0
crates/backend/access/rmgrdesc/src/clogdesc.rs	18	0	0	0	0
crates/backend/access/rmgrdesc/src/committsdesc.rs	18	0	0	0	0
crates/backend/access/rmgrdesc/src/dbasedesc.rs	30	0	0	0	0
crates/backend/access/rmgrdesc/src/genericdesc.rs	15	0	0	0	0
crates/backend/access/rmgrdesc/src/gindesc.rs	115	0	0	0	0
crates/backend/access/rmgrdesc/src/gistdesc.rs	45	0	0	0	0
crates/backend/access/rmgrdesc/src/hashdesc.rs	100	0	0	0	0
crates/backend/access/rmgrdesc/src/heapdesc.rs	230	0	0	0	0
crates/backend/access/rmgrdesc/src/lib.rs	87	0	0	0	0
crates/backend/access/rmgrdesc/src/logicalmsgdesc.rs	25	0	0	0	0
crates/backend/access/rmgrdesc/src/mxactdesc.rs	45	0	0	0	0
crates/backend/access/rmgrdesc/src/nbtdesc.rs	121	0	0	0	0
crates/backend/access/rmgrdesc/src/relmapdesc.rs	16	0	0	0	0
crates/backend/access/rmgrdesc/src/replorigindesc.rs	21	0	0	0	0
crates/backend/access/rmgrdesc/src/seqdesc.rs	16	0	0	0	0
crates/backend/access/rmgrdesc/src/smgrdesc.rs	27	0	0	0	0
crates/backend/access/rmgrdesc/src/spgdesc.rs	103	0	0	0	0
crates/backend/access/rmgrdesc/src/standbydesc.rs	101	0	0	0	0
crates/backend/access/rmgrdesc/src/tblspcdesc.rs	18	0	0	0	0
crates/backend/access/rmgrdesc/src/xactdesc.rs	213	0	0	0	0
crates/backend/access/rmgrdesc/src/xlogdesc.rs	199	0	0	0	0
crates/backend/access/session/src/lib.rs	175	0	0	30	30
crates/backend/access/session/src/tests.rs	0	0	0	0	0
crates/backend/access/session_seams/src/lib.rs	2	0	0	0	0
crates/backend/access/spgist/spgist/src/doinsert.rs	1268	0	0	1112	1112
crates/backend/access/spgist/spgist/src/lib.rs	28	0	0	25	25
crates/backend/access/spgist/spgist/src/scan.rs	697	0	0	613	613
crates/backend/access/spgist/spgist/src/utils.rs	634	0	0	545	545
crates/backend/access/spgist/spgist/src/vacuum.rs	427	0	0	363	363
crates/backend/access/spgist/spgist_box/src/lib.rs	324	0	0	310	310
crates/backend/access/spgist/spgist_box/src/tests.rs	0	0	0	0	0
crates/backend/access/spgist/spgist_build/src/lib.rs	66	0	0	63	63
crates/backend/access/spgist/spgist_kdtree/src/lib.rs	176	0	0	165	165
crates/backend/access/spgist/spgist_proc/src/lib.rs	32	0	0	31	31
crates/backend/access/spgist/spgist_quadtree/src/lib.rs	243	0	0	233	233
crates/backend/access/spgist/spgist_text/src/lib.rs	331	5	0	308	308
crates/backend/access/spgist/spgist_validate/src/lib.rs	227	0	0	98	98
crates/backend/access/spgist/spgist_xlog/src/lib.rs	491	0	0	0	0
crates/backend/access/table/table/src/lib.rs	52	0	0	50	50
crates/backend/access/table/table/src/tests.rs	0	0	0	0	0
crates/backend/access/table/table_seams/src/lib.rs	12	0	0	0	0
crates/backend/access/table/tableam/src/lib.rs	1704	0	0	1081	1081
crates/backend/access/table/tableam/src/tests.rs	0	0	0	0	0
crates/backend/access/table/tableam/src/write_buffer.rs	55	0	0	51	51
crates/backend/access/table/tableam_seams/src/lib.rs	16	0	0	0	0
crates/backend/access/table/tableam_vocab/src/block_run.rs	50	0	0	46	46
crates/backend/access/table/tableam_vocab/src/lib.rs	131	0	0	90	90
crates/backend/access/tablesample/tablesample/src/lib.rs	184	0	0	134	134
crates/backend/access/tablesample/tablesample/src/tests.rs	0	0	0	0	0
crates/backend/access/transam/clog/src/lib.rs	441	0	0	267	267
crates/backend/access/transam/clog/src/tests.rs	0	0	0	0	0
crates/backend/access/transam/commit_ts/src/fmgr_builtins.rs	51	0	0	2	2
crates/backend/access/transam/commit_ts/src/lib.rs	372	0	0	116	116
crates/backend/access/transam/commit_ts/src/tests.rs	0	0	0	0	0
crates/backend/access/transam/commit_ts_seams/src/lib.rs	22	0	0	0	0
crates/backend/access/transam/generic_xlog/src/lib.rs	241	0	0	0	0
crates/backend/access/transam/generic_xlog/src/tests.rs	0	0	0	0	0
crates/backend/access/transam/multixact/src/lib.rs	1330	4	0	659	659
crates/backend/access/transam/multixact/src/tests.rs	0	0	0	0	0
crates/backend/access/transam/multixact_seams/src/lib.rs	69	0	0	0	0
crates/backend/access/transam/parallel/src/lib.rs	860	0	0	594	594
