family	harness	tier	expected	outcome	wall_s	timeout_s	verdict	log
text-slice	wave8::eq_bytea_int8	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	text-slice--wave8__eq_bytea_int8_.log
oracle-compat	proofs::spot_fc_trims1	unmeasured	unmeasured	unmeasured-rss-kill	512	600	NO-VERDICT	oracle-compat--proofs__spot_fc_trims1_.log
pg_lsn	wave5::eq_pg_lsn_recv_core_d8	unmeasured	unmeasured	unmeasured-green	251	600	VERIFICATION:- SUCCESSFUL	pg_lsn--wave5__eq_pg_lsn_recv_core_d8_.log
oracle-compat	proofs::spot_fc_trims_text	unmeasured	unmeasured	unmeasured-rss-kill	521	600	NO-VERDICT	oracle-compat--proofs__spot_fc_trims_text_.log
pg_lsn	wave5::eq_pg_lsn_recv_core_d9	unmeasured	unmeasured	unmeasured-green	251	600	VERIFICATION:- SUCCESSFUL	pg_lsn--wave5__eq_pg_lsn_recv_core_d9_.log
strings-scalar	proofs::eq_pg_column_compression_varlena	unmeasured	unmeasured	unmeasured-rss-kill	211	600	NO-VERDICT	strings-scalar--proofs__eq_pg_column_compression_varlena_.log
oracle-compat	proofs::spot_fc_byteatrims	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	oracle-compat--proofs__spot_fc_byteatrims_.log
text-slice	wave8::control_bytea_reverse_short	unmeasured	unmeasured	unmeasured-rss-kill	151	600	NO-VERDICT	text-slice--wave8__control_bytea_reverse_short_.log
oracle-compat	proofs::spot_pads_utf8	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	oracle-compat--proofs__spot_pads_utf8_.log
strings-scalar	proofs::eq_byteain_escape_verdict	unmeasured	unmeasured	unmeasured-green	271	600	VERIFICATION:- SUCCESSFUL	strings-scalar--proofs__eq_byteain_escape_verdict_.log
oracle-compat	proofs::spot_translate_latin1	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	oracle-compat--proofs__spot_translate_latin1_.log
strings-scalar	proofs::eq_pg_column_size_varlena	unmeasured	unmeasured	unmeasured-rss-kill	511	600	NO-VERDICT	strings-scalar--proofs__eq_pg_column_size_varlena_.log
strings-scalar	proofs::eq_pg_column_compression_nonvarlena	unmeasured	unmeasured	unmeasured-rss-kill	541	600	NO-VERDICT	strings-scalar--proofs__eq_pg_column_compression_nonvarlena_.log
strings-scalar	proofs::eq_byteain_escape_content_len4	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	strings-scalar--proofs__eq_byteain_escape_content_len4_.log
strings-scalar	proofs::eq_pg_column_size_fixed	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	strings-scalar--proofs__eq_pg_column_size_fixed_.log
strings-scalar	proofs::eq_pg_column_toast_chunk_id	unmeasured	unmeasured	unmeasured-rss-kill	571	600	NO-VERDICT	strings-scalar--proofs__eq_pg_column_toast_chunk_id_.log
