family	harness	tier	expected	outcome	wall_s	timeout_s	verdict	log
geo-cmp	ext2::proofs_ext2::eq_inter_sb_grid	unmeasured	unmeasured	unmeasured-rss-kill	341	600	NO-VERDICT	geo-cmp--ext2__proofs_ext2__eq_inter_sb_grid_.log
geo-cmp	proofs::control_point_left_vs_ieee	unmeasured	unmeasured	unmeasured-failed	10	600	VERIFICATION:- FAILED	geo-cmp--proofs__control_point_left_vs_ieee_.log
geo-cmp	proofs::eq_box_above	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_above_.log
geo-cmp	proofs::eq_box_above_eq	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_above_eq_.log
geo-cmp	proofs::eq_box_area_grid	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_area_grid_.log
geo-cmp	proofs::eq_box_area_zero_plane	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_area_zero_plane_.log
geo-cmp	proofs::eq_box_below	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_below_.log
geo-cmp	proofs::eq_box_below_eq	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_below_eq_.log
geo-cmp	ext2::proofs_ext2::eq_point_mul_pow2plane	unmeasured	unmeasured	unmeasured-green	261	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_point_mul_pow2plane_.log
geo-cmp	proofs::eq_box_cn_spots	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_cn_spots_.log
geo-cmp	proofs::eq_box_contain_pt	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_contain_pt_.log
geo-cmp	proofs::eq_box_contain	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_contain_.log
geo-cmp	proofs::eq_box_contained	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_contained_.log
geo-cmp	proofs::eq_box_eq_grid	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	geo-cmp--proofs__eq_box_eq_grid_.log
geo-cmp	ext2::proofs_ext2::eq_box_mul_pow2plane	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	geo-cmp--ext2__proofs_ext2__eq_box_mul_pow2plane_.log
geo-cmp	ext2::proofs_ext2::probe_inter_sb_full	unmeasured	unmeasured	unmeasured-rss-kill	341	600	NO-VERDICT	geo-cmp--ext2__proofs_ext2__probe_inter_sb_full_.log
geo-cmp	ext2::proofs_ext2::probe_line_construct_pp_vshared	unmeasured	unmeasured	unmeasured-green	341	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__probe_line_construct_pp_vshared_.log
